date,temp
2010-01-01,4
2010-01-02,4.8
2010-01-03,6
2010-01-04,3
2010-01-05,4.1
2010-01-06,3.5
2010-01-07,1.6
2010-01-08,3
2010-01-09,1.5
2010-01-10,1.4
2010-01-11,2.3
2010-01-12,2.5
2010-01-13,2.7
2010-01-14,3.1
2010-01-15,5.5
2010-01-16,9.5
2010-01-17,10
2010-01-18,10.1
2010-01-19,10.3
2010-01-20,7.1
2010-01-21,4.6
2010-01-22,8.8
2010-01-23,11
2010-01-24,8.8
2010-01-25,8.5
2010-01-26,5
2010-01-27,3.5
2010-01-28,8.5
2010-01-29,9.6
2010-01-30,8.1
2010-01-31,4.5
2010-02-01,4.4
2010-02-02,7.7
2010-02-03,8.8
2010-02-04,7.7
2010-02-05,8.5
2010-02-06,11
2010-02-07,9.5
2010-02-08,6
2010-02-09,3.8
2010-02-10,6
2010-02-11,6.1
2010-02-12,4.5
2010-02-13,7.9
2010-02-14,5.5
2010-02-15,9.6
2010-02-16,8.5
2010-02-17,7
2010-02-18,4.3
2010-02-19,4.5
2010-02-20,7
2010-02-21,6.8
2010-02-22,8.5
2010-02-23,4.8
2010-02-24,7.5
2010-02-25,10.6
2010-02-26,8.5
2010-02-27,8.1
2010-02-28,8
2010-03-01,8.1
2010-03-02,11.2
2010-03-03,9.5
2010-03-04,6.9
2010-03-05,8.3
2010-03-06,10.5
2010-03-07,10.2
2010-03-08,6.2
2010-03-09,7.5
2010-03-10,9.8
2010-03-11,7.5
2010-03-12,8.5
2010-03-13,11.2
2010-03-14,13
2010-03-15,13.3
2010-03-16,13
2010-03-17,11.8
2010-03-18,14
2010-03-19,12
2010-03-20,11.8
2010-03-21,12.4
2010-03-22,14.1
2010-03-23,10.5
2010-03-24,10.1
2010-03-25,12.1
2010-03-26,11.3
2010-03-27,12
2010-03-28,14.1
2010-03-29,13.1
2010-03-30,11.6
2010-03-31,9.5
2010-04-01,6.5
2010-04-02,11
2010-04-03,10
2010-04-04,9.5
2010-04-05,10.9
2010-04-06,13.8
2010-04-07,13
2010-04-08,14.5
2010-04-09,15.5
2010-04-10,17.1
2010-04-11,18.4
2010-04-12,15.4
2010-04-13,14
2010-04-14,15.4
2010-04-15,15.2
2010-04-16,13
2010-04-17,15
2010-04-18,16
2010-04-19,17.4
2010-04-20,17.1
2010-04-21,15
2010-04-22,12.1
2010-04-23,14.1
2010-04-24,16.6
2010-04-25,18.4
2010-04-26,16.4
2010-04-27,17.1
2010-04-28,18.9
2010-04-29,21.8
2010-04-30,16.2
2010-05-01,14
2010-05-02,14.3
2010-05-03,12
2010-05-04,13.8
2010-05-05,14.8
2010-05-06,14.6
2010-05-07,14.9
2010-05-08,13
2010-05-09,12.8
2010-05-10,13
2010-05-11,14.8
2010-05-12,11.2
2010-05-13,12.1
2010-05-14,14.3
2010-05-15,13.8
2010-05-16,17
2010-05-17,15.8
2010-05-18,17.1
2010-05-19,18.3
2010-05-20,18
2010-05-21,20.5
2010-05-22,26
2010-05-23,25.8
2010-05-24,26.5
2010-05-25,26.1
2010-05-26,21.5
2010-05-27,19.5
2010-05-28,17
2010-05-29,17.2
2010-05-30,17
2010-05-31,18.4
2010-06-01,17.8
2010-06-02,15.4
2010-06-03,20.5
2010-06-04,23.5
2010-06-05,26
2010-06-06,23.5
2010-06-07,21.9
2010-06-08,18
2010-06-09,19.8
2010-06-10,21.1
2010-06-11,17.5
2010-06-12,22.1
2010-06-13,19.5
2010-06-14,19
2010-06-15,19.2
2010-06-16,18.7
2010-06-17,22
2010-06-18,23.2
2010-06-19,23.8
2010-06-20,18.1
2010-06-21,21.6
2010-06-22,24.3
2010-06-23,22.5
2010-06-24,22.9
2010-06-25,22.5
2010-06-26,24
2010-06-27,27.5
2010-06-28,27.2
2010-06-29,25
2010-06-30,23.5
2010-07-01,24.3
2010-07-02,24.5
2010-07-03,22.2
2010-07-04,22
2010-07-05,20.1
2010-07-06,21.3
2010-07-07,22
2010-07-08,20.5
2010-07-09,23
2010-07-10,24.5
2010-07-11,25.3
2010-07-12,22.4
2010-07-13,22.3
2010-07-14,19.9
2010-07-15,21.2
2010-07-16,20.4
2010-07-17,21.6
2010-07-18,22.6
2010-07-19,22.5
2010-07-20,25.7
2010-07-21,20.5
2010-07-22,21
2010-07-23,21.9
2010-07-24,21
2010-07-25,20
2010-07-26,23.5
2010-07-27,23.5
2010-07-28,21.8
2010-07-29,20.5
2010-07-30,21
2010-07-31,20.8
2010-08-01,21
2010-08-02,22
2010-08-03,23
2010-08-04,21.8
2010-08-05,20.5
2010-08-06,21
2010-08-07,21
2010-08-08,22.6
2010-08-09,20.4
2010-08-10,19.5
2010-08-11,19.2
2010-08-12,20.1
2010-08-13,19.4
2010-08-14,21
2010-08-15,21
2010-08-16,24
2010-08-17,24
2010-08-18,23
2010-08-19,20
2010-08-20,21.4
2010-08-21,22.2
2010-08-22,23.4
2010-08-23,22.1
2010-08-24,19.8
2010-08-25,19
2010-08-26,15.3
2010-08-27,17.5
2010-08-28,18
2010-08-29,18.2
2010-08-30,19.5
2010-08-31,19.5
2010-09-01,20.5
2010-09-02,21.5
2010-09-03,22.2
2010-09-04,21.8
2010-09-05,21
2010-09-06,19
2010-09-07,19.4
2010-09-08,20
2010-09-09,19.8
2010-09-10,21
2010-09-11,20
2010-09-12,21.5
2010-09-13,20
2010-09-14,21.1
2010-09-15,17
2010-09-16,17
2010-09-17,17
2010-09-18,17
2010-09-19,17
2010-09-20,17
2010-09-21,17
2010-09-22,17
2010-09-23,17
2010-09-24,14.6
2010-09-25,11.4
2010-09-26,11.2
2010-09-27,12.2
2010-09-28,15.4
2010-09-29,15.1
2010-09-30,11.9
2010-10-01,14.8
2010-10-02,14.8
2010-10-03,14.8
2010-10-04,14.8
